cpu,num_downloads,python_version,pip_version,glibc_version,pip-major,pip-minor,glibc_major,glibc_minor,manylinux_2_27,manylinux_2_24,manylinux2014,manylinux2010,manylinux1,policy
x86_64,75,2.7,20.3b1,2.31,20,3,2,31,TRUE,FALSE,FALSE,FALSE,FALSE,manylinux_2_27
x86_64,75,3.6,20.3,2.15,20,3,2,15,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
x86_64,75,3.7,20.2,2.15,20,2,2,15,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
i686,74,3.5,9.0,2.23,9,0,2,23,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
aarch64,74,3.5,9.0,2.31,9,0,2,31,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
x86_64,74,2.7,20.1b1,2.26,20,1,2,26,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
i686,74,3.8,20.1,2.32,20,1,2,32,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,74,3.9,18.1,2.29,18,1,2,29,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
armv8l,74,3.9,21.0,2.32,21,0,2,32,TRUE,FALSE,FALSE,FALSE,FALSE,manylinux_2_27
armv7l,74,3.9,9.0,2.31,9,0,2,31,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
armv7l,74,3.5,18.1,2.28,18,1,2,28,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
i686,73,3.7,19.2,2.17,19,2,2,17,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
s390x,73,3.6,20.3,2.27,20,3,2,27,TRUE,FALSE,FALSE,FALSE,FALSE,manylinux_2_27
armv6l,73,3.9,20.2,2.32,20,2,2,32,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
aarch64,73,2.7,19.2,2.27,19,2,2,27,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
x86_64,72,3.8,19.3,1.0,19,3,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,none
x86_64,72,3.6,20.1,2.25,20,1,2,25,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,72,3.8,19.3,2.22,19,3,2,22,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,72,2.7,20.2,2.13,20,2,2,13,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
x86_64,72,3.5,18.0,2.31,18,0,2,31,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
x86_64,72,3.7,18.0,2.22,18,0,2,22,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
